PC1;PC2;PC3;PC4;PC5;PC6
1.102713915;1.601686452;0.929938466;-0.215425187;-1.107705608;1.51995608
-1.823235546;1.753908883;-0.505226151;-2.066688138;-1.287144551;-0.13282908
3.400690409;0.416674988;1.065762824;-0.90283879;-0.654655256;-0.302308377
0.521005703;0.642362759;-1.90761071;2.385660641;-1.110880998;-0.775723653
0.931231865;-0.478551667;0.940903238;0.089285058;-0.117889266;2.06184858
-0.397606543;-1.350859972;-0.192244303;0.543856524;-1.215399995;-1.092910704
-5.179179827;-1.851928814;0.880017796;-0.035095672;0.016008082;-1.595948194
-1.821282427;1.473998788;-1.86389114;-0.239424376;0.802254818;-0.72599615
-2.27340211;-0.007788327;1.952539619;-2.109549341;-2.032862959;0.011755165
2.561179777;-0.547483721;1.02998971;-1.348385232;1.955182787;0.065730309
1.308525182;-0.654035618;-0.298319108;1.316274033;0.958009146;0.786489465
-2.581557986;-2.461043641;2.110015625;3.609042156;0.731735759;0.48483406
-0.926481573;-2.473486917;-0.883194022;1.292733889;-0.919872086;0.233305412
2.988973969;4.036954693;-0.61609072;-0.13121896;-1.409199332;-1.378509404
1.084954436;-0.43336508;2.3416132;2.991600165;-0.344562009;-1.490499145
-0.243097673;-0.321549911;3.967952551;-0.216146655;0.275117968;0.48577545
1.173191517;-0.629477904;-1.732136377;-2.005202825;0.515645051;-0.504805702
2.383996927;-1.130505909;-2.117713139;1.168016619;-1.317683297;0.094331354
-0.877825341;0.998249344;-0.86113699;0.627845888;0.761100975;0.177388086
1.37361695;-0.409211799;1.709273583;-0.996837933;-0.479185363;1.208290097
0.8930265;-3.034641455;1.47861266;1.9716494;1.866969839;0.98569443
0.250349013;-0.140675251;1.412072638;-3.10577714;-0.696348019;-0.424886037
-0.516809007;-0.763965015;2.748641621;-1.944779772;0.488698265;-2.54359022
-0.392723742;1.545010824;0.783341415;0.64720535;0.350098493;0.609915373
-2.427461136;-1.150648623;1.183374755;0.456676044;0.559070444;1.712283374
-1.111047238;-2.284038098;2.06949191;-0.338231463;0.850737097;-1.122714714
0.46127761;-2.018581508;-1.400730435;1.086467474;-1.285415528;0.049210297
-0.407604926;0.831824555;-1.40363756;0.614669815;-0.526950437;-0.865045758
