PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15
-0.469686891;0.627533465;-0.595394203;0.457303225;0.853287663;-0.45777585;0.238903859;0.96970749;0.315680208;0.528579856;-0.31546816;-0.312013959;0.693900348;0.914400262;0.045533813
3.844982863;0.340136751;-0.143143311;-0.559255969;0.398340641;-0.978634934;-0.169044136;0.522073072;0.125963387;0.412395991;-0.261077197;-0.803762604;-0.15537654;-1.146806161;-0.235665452
0.953219309;-1.39358895;-0.69181306;-0.047801061;-0.302159351;-0.955956299;-0.878246559;-0.136663369;0.300557094;0.398034158;0.385057301;0.37243309;-0.157801488;-0.664945582;-0.064920731
0.636719387;0.58905099;-0.327443195;0.992513475;-1.317481233;-0.906629979;0.054690754;0.160566074;0.610184234;0.141865122;-0.672840453;-0.627436095;-0.52432934;-0.321740885;0.001759088
-0.968597789;-0.671966627;0.899706295;-0.811463216;-0.962447719;0.450468517;-0.902179809;0.860655609;-0.166478244;0.356459016;-0.084081925;0.42852815;-0.444079943;0.404567621;-0.340971601
-5.942794951;-1.643665478;0.254632436;0.07545623;-0.116112151;0.749250985;-0.048784881;-0.173040001;-0.598532581;-0.828388439;0.320435802;-0.04459005;-0.169607147;-0.842041283;-0.181928166
3.242664674;-0.573553475;-0.859681724;-0.260820236;1.487231141;-0.373601738;-0.173010055;-0.69015772;-0.620318206;0.01702744;0.521384171;0.207575766;0.923227014;0.722359098;0.126826769
-6.233206018;0.989548774;-0.139986504;0.732344428;1.011431761;1.714210065;0.212590762;0.291453038;0.683578812;-0.560482057;-0.697392747;0.126278016;0.356611072;-0.045540762;-0.075023606
-0.429876277;0.552839769;-0.272509374;-0.530595531;0.429599599;0.122974465;0.370339619;-0.012625796;0.428944112;1.283106067;-0.208700029;-0.254352665;0.026915994;0.190580515;-0.113172425
0.157533888;-0.465615004;0.157320327;-0.274684818;0.358846992;1.370878278;0.168353052;0.5204256;-0.648318155;1.358125916;-0.332020053;-0.769366274;0.250091986;0.483171559;0.159300876
-5.986341532;0.242617341;-0.400997178;0.212704438;-0.71955553;-0.3573021;-0.879705783;0.557724897;0.234653954;-0.318276459;-0.204077884;0.708390081;0.178566658;-0.310595782;-0.233335291
-2.932359715;-0.529782651;-0.124829763;-1.474615723;-0.295790697;-0.775108176;0.028369269;-0.035295105;0.100087586;0.331410032;0.212687695;-0.934762268;0.072631433;0.057841282;0.288461239
-0.330674968;0.727531729;-1.261357511;0.447935012;-0.581824567;-0.544745428;-0.288435184;-0.906740446;0.039304593;-0.2390188;0.045071651;0.502928476;-0.101316404;0.087490224;0.13173656
1.53604496;0.128795937;0.804455397;0.193589197;0.246996533;0.324671991;-0.569841902;0.481483399;-0.259745204;1.272635649;0.530869536;1.028991151;0.104104481;0.292532224;0.029633785
1.054205872;1.067857296;-0.123793265;0.083386009;-1.082806379;-0.298684955;0.508755821;-0.202443375;-0.322018915;-0.002462292;0.464011787;-0.02544502;0.148195814;-0.2633967;-0.245837113
5.575996719;0.032641086;0.604660765;0.549675136;-0.27018316;-0.38844942;0.2092537;-0.400817718;0.773872294;-0.064109088;-0.089642657;0.244881193;0.014076955;0.219312843;0.235016927
-0.570805615;0.107022682;0.170474048;0.599866901;0.653732865;0.505802347;-0.474696345;0.40369835;-0.428335657;0.512223555;0.725319859;0.63642329;-0.870981778;-0.034207117;-0.134506819
-5.690716268;0.177725348;1.116410504;0.630540569;-0.085131075;0.421854897;-0.011411257;-0.962534766;-1.120716483;0.629815931;0.093303943;-0.828417503;-0.397074196;0.087709956;-0.241812225
-2.538249136;-0.922836265;-0.177251336;0.325498115;0.139259556;-0.287935119;0.295178404;0.690230865;0.803537503;0.944370577;-0.548363362;0.249426287;-0.176720884;0.181650281;0.266387341
6.880618851;-0.389568148;0.424979399;-0.00313421;-1.317812217;0.560198231;1.050115298;-0.495195982;0.527339628;0.124878124;0.021500154;-0.685066517;-0.249582142;0.119975902;-0.07814636
-7.960635305;0.38606071;-0.399340681;0.142490546;-1.376828449;0.447141766;-0.156030668;-0.765011218;-0.074544924;0.317553652;-0.316673104;0.567797382;0.785948577;0.139498565;-0.261454948
-2.684414816;0.484676222;0.561444985;0.872220622;-0.087882878;-0.07055234;0.341927252;-0.166836164;-0.090913455;-0.932711174;0.006199003;0.219297488;-0.297845486;0.251913981;0.325525661
-0.447469306;0.264391873;1.169587467;0.742483428;0.256677513;0.425214705;0.338907995;-0.472088786;-0.618078761;-0.586708531;-0.229922107;0.082144518;-0.670899009;-0.877165463;0.336222473
2.372286504;-0.128704001;0.047258329;-1.055513593;0.389905836;-0.234244451;1.692604496;-0.902693404;-0.807268673;-0.924206127;-0.169310767;-0.428615247;0.598327695;1.146965497;0.019939398
3.307660365;-0.406927261;-0.169954659;-0.920818328;0.054749737;0.287655239;-0.632610235;0.428791651;0.184084751;1.251076806;-0.727558793;0.06005942;-0.185263936;-0.108535094;-0.152593385
3.045815998;-0.193103004;-0.033370551;-0.389590699;1.519425134;-0.143833744;0.138951398;-0.05844464;-0.163836684;-0.413154239;0.637134744;0.541392863;-0.516407473;0.751505127;-0.081729712
-1.610170529;-0.164845585;0.739182726;-0.782851794;0.770842366;0.29095406;0.691946428;1.145370969;0.05522343;0.505003161;-0.348036658;0.281150556;-0.341880072;-0.065730468;-0.06644991
2.89342305;-0.290038663;0.208302353;-0.318507264;-0.956010883;-0.542219956;0.354067506;-0.563289222;0.260129315;-0.326411128;-0.765369212;-0.620277358;0.521141198;0.560771457;0.009470341
-1.863541328;-1.430238218;0.63238965;-1.430247309;0.170160475;0.228539798;0.087527665;-0.509975294;0.002316631;-0.414352365;0.152106426;0.979520018;0.639145927;-0.294701077;-0.204571626
1.651369392;1.03298162;-0.418636483;-0.967450376;0.339257745;0.627854428;-0.083124918;-0.620418729;-0.2285126;0.071276041;-0.408677615;-0.84163561;-0.275012882;-0.763464536;0.103172058
2.752890906;-0.218979485;-0.294703273;-0.343000399;1.316937901;-0.443917467;0.203434105;0.07960524;-0.104163836;0.113427815;-1.191431547;0.59332713;0.358663012;-0.219450174;0.046681312
1.431107826;-0.016588816;0.248330291;-0.352451651;-0.085912193;0.513514795;-0.347584881;-0.349651227;1.193356747;-0.277402003;-0.116339418;0.661648083;-0.641305216;0.566852923;0.306173998
-1.056859473;1.271571595;0.458057288;-0.254310896;0.217366025;0.57950037;-1.210129122;0.077260354;0.551415879;0.076871174;-0.041873859;-1.375826906;0.057321282;0.225034405;-0.082263526
-2.734429457;-0.639107454;-0.022142284;0.199912962;0.085170914;1.149240322;0.327297511;-0.174869039;-0.903633336;1.075624575;-0.485933214;0.460264908;0.133339194;0.786182282;0.111152089
-5.199624462;0.966543316;-0.254204081;0.1999649;-0.842101978;1.013153409;-0.085049555;-0.687854782;0.014232975;0.519343908;-0.500955487;0.467951071;-0.30299124;1.292223199;0.066781923
0.140396656;-0.613429204;0.587459884;1.698241116;0.27082428;0.495901363;0.71598846;0.343026149;0.185576609;0.221697013;-0.224341012;0.354463;-0.195616536;-1.118330518;-0.323762393
3.514632691;0.687632084;0.354349352;-0.14306904;-0.32029157;0.767589623;0.302043144;1.121111929;0.192090195;0.391238248;0.032961001;-0.139380024;0.047023829;0.054532157;-0.244104308
-1.731002714;0.589871302;1.076922779;-0.424929446;0.147084908;0.522008775;0.236717952;-0.221531368;-0.042773889;0.09258408;0.449785096;-0.86758178;0.059036856;0.779671037;0.067022552
3.090096567;-0.627633576;-0.907216651;0.850166608;-0.41530108;-0.018169509;-0.062316789;0.534997235;-0.561564972;0.368228005;-0.109030332;-0.468866672;0.202554663;0.157817814;-0.042717098
-1.72297005;-0.74646974;0.254900394;0.135168745;0.297457853;-1.208912929;-0.30110725;-0.616395056;-0.469310829;0.149405623;0.004634971;0.908684456;0.651757351;-0.636508489;-0.07925311
0.153712835;-1.137222465;0.747144359;0.520402847;-0.325842448;-0.059084885;0.18375178;0.775935406;0.694636176;-0.739919439;0.716087979;0.494390281;-0.038801018;0.256353668;-0.151753536
1.23035551;-0.399667479;0.512758863;0.051218567;-0.154493224;-0.243352703;0.041958196;-0.408663376;0.026690684;0.079265733;-0.459512001;0.206191037;0.424311732;0.487750892;-0.021205253
-1.919362375;0.410268056;0.076273254;0.111097004;0.166581569;0.707028732;0.402582232;-0.147607689;-0.374564383;-0.820562254;0.174584167;0.344843161;0.299118263;-0.384577701;-0.362547996
2.652313005;0.624290783;0.836434371;0.381184639;-0.232713937;0.455032525;1.73279935;-0.100793275;-0.912573396;0.556276558;-0.212649693;-0.830973669;0.875948824;-0.963003314;-0.424923278
2.123167392;-0.135422458;0.564053353;-0.839003651;0.144003544;-0.279552721;-0.524488317;0.182417419;-0.27392951;1.081190259;1.210098954;-0.261682231;-0.214763975;-0.575870733;-0.438683079
-2.906789679;-1.089941985;0.424150198;-0.420723047;-0.208541199;-0.283018896;-0.122753139;-0.482001584;-0.182289304;0.67574111;-0.062399248;0.120320652;0.273401542;0.990234571;0.374606293
-0.876702886;0.52049797;0.584676799;0.774899298;-0.159131091;-0.561249191;1.160370914;0.182824634;-0.716875457;-0.163320854;0.468419786;-1.445057837;0.431255527;-0.027151991;-0.040018001
1.568651551;-0.975884363;0.226798629;-0.944135946;-0.970613753;-0.366918122;0.612645591;-0.016990028;-0.124905525;-0.178760912;-0.419494575;0.110232908;0.747660089;0.064381057;-0.061051378
0.708835733;-0.548078989;0.711574914;0.214777947;0.954697898;-0.136330414;-0.03388506;0.834442433;-0.053278383;0.474122131;-0.297546935;0.186836103;0.108151976;-0.001362687;-0.158290449
-1.780881527;-0.252842027;-0.038145471;0.12231125;1.321598549;0.736300738;-0.234867951;1.168992586;-0.221447536;0.154941932;0.027867406;-0.075090623;-0.072012524;0.040619696;-0.283526074
-1.112589019;0.14325861;1.111029852;0.953180121;-1.206255505;-0.297926396;-0.589854293;0.013957201;0.435964293;-0.070152344;0.375229294;-0.298727988;-0.368784903;-0.687949142;0.151202536
0.825521247;0.331855668;1.062900263;-0.570099709;1.460200185;-0.397105114;-1.204322102;-0.715564484;-0.389228405;0.189396052;-0.538763625;0.116376993;0.169942399;0.576437004;-0.284909715
7.016070035;0.049580357;-1.110728652;0.749377515;0.664545014;0.389315124;-0.399843618;0.481943923;-0.535145423;-0.42946406;-0.319292411;0.275806214;-0.573477727;-0.297052302;-0.162739315
-4.226875568;0.75889225;-0.249302935;0.1990927;0.334217133;-0.544173058;-0.304890862;0.060051098;0.208436897;-0.976550797;0.011771598;0.36016899;-0.188071864;1.444724921;-0.330780613
-3.352472972;1.166093324;-0.615021507;-0.327295605;1.320503351;0.17538256;-0.112168441;0.475134089;0.261856457;0.843543096;-0.24194302;0.177558811;0.402355516;-0.625254087;0.133275279
-7.560591881;-0.1049563;-1.158393921;-0.301321571;-0.333892074;0.594448606;0.491423214;0.101663958;-0.513779896;-0.519684253;0.316863747;0.281391151;-0.206387975;-0.440439395;-0.147214886
-2.234612326;0.16324602;-0.050250812;-0.817117894;-0.308723539;-0.056908936;-0.09635221;0.09848612;0.00665913;1.075026394;0.190908676;0.275992368;0.340281692;0.010649648;0.130085956
2.405846202;0.526997632;0.590016028;0.457306775;-0.03793427;-0.9769119;0.232190785;0.151909567;0.197359085;-0.300621543;0.75914286;-0.664487366;-0.050287744;-0.340777291;-0.176870938
5.43956249;0.30096861;0.313262889;-0.413080507;-0.771168916;-0.06890745;0.137639699;1.020111895;-0.666466327;0.128360556;1.005909967;-0.072434226;-0.140288605;-0.635823202;-0.079741313
-3.455317896;0.412711376;0.470235029;-1.578035405;-0.217754567;-0.631525683;0.05522246;0.519127335;1.199244173;0.179346362;0.359423829;-0.098375233;-0.779110279;0.014522732;-0.151092862
3.957051851;0.663305568;0.956085973;-0.107735361;-0.111510927;0.08956903;-1.194957178;-0.555147228;-0.556181898;-0.57186708;-0.030111825;-0.022924613;-0.343623694;1.156211625;-0.035285538
0.239644036;0.372835814;-0.359262497;0.647248012;0.695393538;0.522213536;-0.491995141;1.239413657;0.052235238;-1.128543351;-0.815069224;-0.224124458;-0.752331784;0.075379663;-0.163747895
2.401568368;-0.026990522;0.422608388;-0.560663046;-0.271085838;0.346360209;-0.399165967;-0.256743164;0.800963434;-0.035834669;0.460662546;0.255997259;0.348221649;0.413287799;-0.090682148
