PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;PC16;PC17
-1.090146668;0.43774427;0.738620221;-0.708979479;-0.631716699;-0.304339932;0.026949357;-1.595339652;0.416400931;-0.006162463;-0.898504321;0.45258178;0.248251904;0.315900778;-0.284140673;0.163113808;-0.204234388
-4.366557568;-0.425145458;0.247755457;-0.894578386;0.419151651;0.611268236;-0.45755317;-0.268175602;0.575138269;-0.113334178;-1.140205591;0.171078931;0.288647135;0.496703589;-0.385550898;-0.359964275;0.058277745
-1.898056777;-0.496097208;0.214156926;-0.753685157;0.215673763;-1.414834779;0.006693875;0.544766445;0.503341516;-0.193666124;0.510421605;0.117141199;0.1310379;0.340185512;0.428739884;0.258539835;-0.049809185
2.331348001;0.68897922;0.941781213;-0.574939104;0.494678738;0.397630219;-0.092953508;0.718097985;0.516337501;-0.817227197;0.121874127;0.48365533;-0.941613129;-0.192574111;0.143702303;0.15117344;-0.141151167
-1.610360436;-0.013193105;-0.199385191;-1.169293975;0.363960688;-0.21389362;-0.332763101;0.133454008;0.457443904;0.483376657;0.096736911;-0.302944034;0.100024773;-0.152296433;0.452589005;0.550403585;0.141488128
-0.456982799;-0.10649882;0.196542229;0.667755584;0.400688865;-1.06031037;0.896514906;-0.511135305;0.108223812;1.716584709;-0.265528238;0.060997909;0.103103126;-1.421664174;-0.35233073;-1.064391571;0.186435078
-2.155902911;0.725029089;-0.839163866;1.532114743;0.925026605;-0.569696102;-0.33695478;1.003207874;-0.875081186;-0.11543765;0.994691355;0.472795815;0.397143565;0.007799893;0.918857502;-0.075854364;-0.24405666
-3.485454791;-0.716659705;0.394307641;-0.00347411;-0.247447897;0.062512708;-0.0332105;-1.183193628;0.781836493;0.515319173;0.523631119;0.060748609;-0.179506587;-0.843823096;0.244379048;0.301095594;-0.184444261
2.183998517;0.495017095;-1.322851317;-0.000551831;0.267764136;-0.69059482;0.940964737;0.754215509;-0.323399135;0.439245689;-0.065331641;-0.061120782;-0.730305802;-0.108919938;-0.490256976;-0.207016074;0.108546219
2.24366878;-0.909486393;-0.750545091;0.608703539;0.100070213;-0.364745403;-0.749541251;-0.395913403;0.326145368;-0.392541038;-1.301452866;0.206351857;0.394052515;-0.448699654;-0.583265853;-0.971050071;0.032083774
-5.505024585;-0.07189914;-0.619165329;-0.232897121;-0.47563605;-0.551256836;0.20048263;0.144594802;0.001626798;-0.436370844;-0.490359235;-0.089931163;0.542080833;0.665163885;-0.806954241;0.657057316;-0.274500214
0.839753015;0.823314076;0.935468409;0.320882187;-0.278684156;-0.761127259;1.057720721;0.582812359;0.19793163;-0.575428146;-0.092807806;0.063364802;0.523675115;-0.409196775;-0.073313183;-0.606140274;0.260554405
6.539089134;-0.350515553;-0.04925559;-0.306490917;-0.891358541;-0.228296888;0.90631759;-0.225400833;-0.107480391;-0.164585589;-0.957118042;1.014743908;0.492484218;0.925243425;-0.506739096;-0.463439239;0.063715456
-0.116231393;-0.901172443;-0.851892223;1.154919358;-0.113285722;-0.383216181;0.594320743;-0.489299552;0.460742792;0.109608578;-0.339411325;0.222873622;0.185321318;-0.057856688;-0.013193938;-0.197500644;-0.269346427
-0.407431191;0.524513386;-0.492170901;-0.810901366;-0.201276956;0.147500547;2.080376185;-0.005855503;-0.400966065;-0.123294565;0.323454756;-0.354689236;-0.625526395;0.610305851;0.48219886;0.341914831;0.07337831
