Edad;Experiencia;Ingreso;Familia;credito;educacion;cuenta de ahorros;servicios online;tarjeta de credito
57;31;6,708203932;3;1400;1;0;1;0
35;5;10,39230485;2;2750;3;0;0;0
40;14;13,37908816;1;2600;3;1;1;0
42;15;4,582575695;3;1000;2;0;1;0
33;9;6,164414003;1;2100;3;0;0;0
32;6;10,53565375;2;1500;3;0;0;0
41;16;9,899494937;1;4000;3;1;0;1
38;13;12,9614814;2;1300;3;0;0;0
58;34;11,3137085;1;7400;1;0;0;0
40;16;10615713,24;1;3400;1;0;0;0
41;17;4,472135955;1;1400;3;0;1;0
40;15;9,219544457;2;400;1;0;1;0
62;38;18114354,79;1;1900;2;0;0;0
53;23;4,358898944;4;400;3;0;1;0
30;4;12,40967365;2;4500;1;0;1;0
39;14;9,433981132;2;400;1;0;1;0
34;9;7,745966692;4;1300;1;0;0;0
40;16;10,19803903;2;1800;2;0;0;0
50;24;11,13552873;1;4900;1;0;1;0
53;29;9,746794345;1;2700;2;0;1;0
56;26;7,874007874;3;1400;3;0;1;0
48;23;3,872983346;4;800;1;0;1;0
59;33;7,937253933;1;1600;1;0;1;1
57;31;11,44552314;2;2700;1;0;0;0
50;26;9,38083152;1;2700;1;1;1;0
33;8;8;4;2100;3;0;1;0
55;30;9;2;3700;1;0;0;0
51;25;5,744562647;1;1400;3;1;1;1
35;9;12,80624847;2;0;1;0;0;0
34;9;13,41640786;1;8900;3;0;0;0
49;23;8,062257748;3;700;2;0;1;1
32;6;5;2;300;1;0;0;1
42;17;10,53565375;3;3000;1;0;0;1
51;25;10,19803903;1;4200;2;0;1;0
50;25;6,633249581;1;300;1;0;1;1
50;25;6,557438524;1;1400;3;0;1;0
35;9;6,403124237;4;1200;2;0;1;0
56;31;9;2;0;3;0;0;0
53;29;7,141428429;2;3200;3;0;1;0
55;30;6,32455532;2;969,5145807;3;1;1;0
57;32;4,358898944;1;1300;1;0;1;0
45;20;7,416198487;4;1900;3;0;0;0
43;19;8,485281374;4;200;3;0;1;0
66;36;7,416198487;4;1670;3;0;0;1
27;3;9,899494937;2;2500;1;0;1;1
43;19;11,3137085;1;4700;1;0;1;0
62;38;12,40967365;1;2900;1;0;1;0
45;20;7,874007874;3;800;3;0;1;0
47;21;8,888194417;3;1100;1;0;1;1
31;5;6,244997998;4;2200;2;0;1;1
379.037.826.643.048;14;6,244997998;1;2000;1;0;1;0
32;7;10,58300524;1;4600;1;0;0;0
54;30;6,244997998;4;100;3;0;1;0
34;9;8;2;100;1;0;1;1
48;24;14,96662955;2;6670;1;0;1;1
42;17;9,899494937;2;400;1;0;1;0
59;35;5,567764363;3;400;2;0;1;0
53;27;8;4;2600;1;0;1;1
33;8;7,874007874;1;1000;1;0;1;0
51;26;13,37908816;1;8100;1;0;1;0
58;32;13,41640786;1;2900;1;0;0;1
40;15;6,557438524;4;1700;1;0;0;0
33;8;8,062257748;2;100;1;0;1;0
57;31;7,615773106;1;200;1;0;1;0
64;39;13,49073756;1;1200;2;0;1;0
55;29;7,874007874;3;300;2;0;1;0
24;0;7,681145748;4;1600;1;0;0;0
37;11;8,426149773;1;2500;1;0;1;1
52;26;8,246211251;1;800;3;0;1;1
46;22;9,110433579;4;1400;2;0;1;1
48;23;8,888194417;2;3800;3;0;1;0
30;6;12,64911064;1;4300;1;0;1;0
59;35;9,16515139;1;1800;3;0;1;1
31;4;5,291502622;1;2000;2;0;0;0
40;16;7;1;1800;1;0;0;1
28;4;8,306623863;3;700;2;0;1;0
62;36;5,656854249;2;200;3;0;1;1
58;33;7,280109889;4;2100;1;0;1;0
58;32;8,485281374;3;300;2;0;1;0
45;19;4,69041576;3;1500;1;0;1;1
36;6;3,31662479;1;670;3;1;1;1
38;14;9,539392014;2;0;1;0;1;0
31;5;6,480740698;2;2000;3;0;1;0
50;26;13,37908816;1;2900;3;0;0;1
27;3;12,16552506;1;1500;1;0;1;1
48;22;8,426149773;1;1,47E+16;3;0;0;1
48;22;6,557438524;1;1200;2;0;1;0
60;34;10,67707825;2;6900;1;0;1;0
48;24;3;4;500;2;0;0;1
46;20;9,539392014;4;2600;3;0;0;0
39;13;7,937253933;4;200;3;0;0;0
27;3;10,90871211;1;5400;1;0;1;0
62;38;9,539392014;1;3800;1;0;1;0
