;PC1;PC2;PC3
1;-174.081.533.724.144;-309.489.159.370.068;-346.372.573.026.923
2;-201.884.762.281.145;-70.810.334.502.802;194.760.462.107.935
3;-202.404.584.848.845;-70.579.474.607.315;232.957.649.624.433
4;-21.400.072.027.961;-874.398.673.828.121;304.805.539.689.697
5;-21.388.806.235.441;-879.418.000.046.818;283.327.325.269.189
6;-213.235.214.820.408;-863.111.668.947.212;307.951.924.230.435
7;-167.302.371.496.989;-205.340.703.595.863;-847.683.977.042.468
8;-166.133.826.652.391;-195.003.466.132.596;-999.709.371.146.843
9;-164.278.265.434.069;-145.530.390.937.124;-0.754920528670887
10;-165.335.490.605.045;-159.048.452.192.315;-0.650455213933648
11;-165.512.157.585.517;-176.204.026.941.434;-595.908.329.680.792
12;-166.833.010.169.626;-20.269.088.760.501;-979.118.589.055.645
13;-167.824.269.985.182;-19.853.843.907.374;-354.281.463.763.552
14;-168.736.651.915.272;-239.353.330.750.821;-793.527.118.553.622
15;-165.234.053.505.527;-15.381.400.875.882;692.185.812.119.571
16;-168.740.475.252.276;-236.129.948.266.599;-672.927.379.574.892
17;-80.358.707.326.934;-762.993.477.901.551;135.301.946.323.168
18;-16.603.063.904.626;-182.469.137.621.559;0.932192592158987
19;-154.808.410.021.305;200.694.404.628.615;892.023.714.852.516
20;-167.129.222.882.204;-206.065.175.052.128;-272.389.490.740.697
21;-584.678.107.653.471;-775.440.265.634.958;241.723.854.286.795
22;-16.636.091.056.928;-202.522.117.116.286;-436.776.070.940.132
23;-632.672.658.371.037;-855.659.807.203.791;578.768.895.642.334
24;-165.896.717.746.793;-203.074.494.381.096;-625.893.822.554.615
25;-166.502.097.545.484;-206.508.706.662.459;-601.426.031.139.439
26;-154.481.016.690.944;168.784.159.982.131;757.012.701.625.513
27;-163.157.529.513.479;-121.947.106.006.083;944.376.890.838.949
28;-154.640.873.597.139;157.529.918.634.029;730.162.782.453.036
29;-165.696.453.438.196;-181.407.234.939.279;-0.293927858285427
30;-796.752.411.749.659;-658.824.194.898.577;17.910.614.201.678
31;-655.509.559.541.978;-633.488.001.831.504;373.535.144.979.885
32;-487.278.561.693.716;-818.750.731.594.211;249.704.870.087.159
33;-270.172.913.232.781;-239.873.436.943.056;154.960.913.121.836
34;-646.782.740.026.964;-650.979.022.412.801;390.322.718.101.979
35;-106.029.286.560.445;-427.923.426.549.516;14.344.736.492.187
36;-182.795.248.290.898;-434.249.598.788.428;37.683.943.801.311
37;-180.464.483.085.829;-357.391.800.452.475;21.215.221.915.262
38;-184.267.081.663.707;-452.501.573.274.671;413.607.244.495.723
39;-184.255.416.651.842;-445.325.276.352.393;738.775.172.670.204
40;-201.502.461.305.836;-690.064.190.712.954;174.449.173.237.612
41;-20.186.067.554.389;-695.074.602.674.685;175.113.203.093.424
42;-208.780.077.984.771;-775.512.806.548.868;346.077.475.181.706
43;-208.287.729.131.638;-764.365.121.428.331;363.992.048.203.852
44;-209.755.423.402.979;-810.399.226.564.035;26.454.841.118.509
45;-207.441.789.724.198;-768.315.184.657.489;305.897.046.903.597
46;-208.483.138.519.557;-800.736.478.802.129;239.059.883.539.681
47;-208.455.523.441.833;-800.417.483.248.894;23.917.860.277.473
48;-205.473.564.969.479;-753.308.832.500.175;270.450.576.054.867
49;-203.757.485.796.572;-743.887.299.379.173;229.109.457.911.777
50;-207.352.444.042.819;-786.909.453.879.551;236.191.695.740.207
51;-203.717.465.852.987;-72.586.628.715.202;209.014.901.508.635
52;-202.777.956.532.366;-710.091.281.756.617;220.924.502.422.638
53;-205.258.310.070.411;-748.639.748.796.191;199.754.112.371.642
54;-2.051.896.065.111;-747.337.247.777.115;199.822.452.935.492
55;-896.657.586.810.494;920.398.698.819.433;-761.587.539.232.507
56;-216.313.975.773.582;-90.025.904.058.626;284.754.441.298.045
57;-171.211.237.966.357;-252.357.746.605.179;-948.426.477.547.002
58;-199.756.800.072.765;-656.414.325.232.704;182.438.253.706.031
59;-183.222.710.933.236;-418.728.617.474.421;806.710.318.993.117
60;-180.911.788.339.787;-407.415.306.245.803;184.063.734.499.998
61;-181.754.647.331.731;-411.237.458.599.489;361.062.616.284.537
62;-177.957.023.256.672;-322.009.409.472.046;185.377.404.984.041
63;-182.075.283.729.845;-419.916.380.870.008;195.538.425.873.432
64;-183.282.896.303.236;-431.329.091.549.045;349.252.136.371.907
65;-217.634.851.845.519;-920.316.778.418.793;343.908.091.381.114
66;-158.720.080.794.157;-738.648.606.839.338;-196.758.620.407.904
67;-157.965.172.125.006;-639.555.769.532.311;-198.199.520.492.253
68;-150.659.671.138.483;333.458.986.819.481;-231.941.608.570.556
69;-149.840.456.293.742;412.108.129.993.653;-23.975.066.220.326
70;-15.012.220.100.682;372.161.413.880.965;-239.481.093.298.335
71;-171.262.453.283.845;-230.893.895.533.969;53.785.816.107.128
72;-169.695.831.419.455;-195.228.245.712.628;113.558.117.877.119
73;-172.172.826.430.694;-260.164.946.608.738;-107.660.404.545.265
74;-170.280.744.688.623;-203.853.530.338.435;112.877.311.154.048
75;-124.810.375.421.261;412.922.018.865.751;-442.997.538.200.421
76;-121.383.136.847.128;484.516.731.781.307;-342.759.988.694.238
77;-118.484.755.134.789;544.161.633.765.145;-260.804.010.193.856
78;-121.703.456.383.612;471.323.679.597.835;-376.549.155.284.696
79;-121.554.552.545.726;475.470.332.047.084;-371.997.921.220.861
80;-123.515.203.449.221;426.372.696.213.692;-456.797.987.135.229
81;-184.916.843.671.044;-457.929.514.142.922;357.468.514.729.463
82;-182.918.232.711.207;-429.879.781.981.288;426.253.302.824.986
83;-184.924.096.570.029;-457.525.627.810.839;360.568.881.875.844
84;-183.354.958.061.161;-422.308.227.500.083;904.702.913.732.694
85;-20.074.385.723.258;-689.236.270.059.629;177.368.181.505.066
86;-199.692.387.903.968;-665.513.105.145.117;21.726.152.354.157
87;-200.588.283.729.342;-684.784.779.921.438;185.801.743.631.885
88;-199.734.719.449.824;-673.121.487.584.789;191.401.880.723.649
89;-186.804.977.569.008;-493.943.525.849.661;740.167.320.609.243
90;-187.854.084.919.386;-505.014.306.907.554;843.113.187.813.956
91;-186.972.725.776.545;-483.640.146.928.251;118.839.927.499.947
92;-186.794.834.880.876;-484.814.874.313.729;105.552.994.833.825
93;-188.607.624.654.119;-510.248.236.886.465;954.168.580.950.016
94;-190.017.692.898.609;-530.911.826.757.416;865.962.073.820.995
95;-186.629.194.869.888;-491.660.124.688.696;735.751.923.964.412
